Cuenta de la empresa,Código,Database ID,ID,Método cierre,Nombre tipo cuenta,Secuencia,Signo en informes
False,view,23,account_types_ve.view,None,Vista,5,Positive
False,capital,24,account_types_ve.capital,Balance,Capital,5,Positive
False,inmo,25,account_types_ve.inmo,Balance,Inmovilizado,5,Positive
False,stock,26,account_types_ve.stock,Balance,Existencias,5,Positive
False,terceros,27,account_types_ve.terceros,Balance,Terceros,5,Positive
False,terceros - rec,28,account_types_ve.terceros - rec,Unreconciled,Terceros A Cobrar,5,Positive
False,terceros - pay,29,account_types_ve.terceros - pay,Unreconciled,Terceros A Pagar,5,Positive
False,tax,30,account_types_ve.tax,Unreconciled,Impuestos,5,Positive
False,financieras,31,account_types_ve.financieras,Balance,Financieras,5,Positive
False,gastos,32,account_types_ve.gastos,None,Gastos,5,Positive
False,costos,33,account_types_ve.costos,None,Costos,5,Positive
False,ingresos,34,account_types_ve.ingresos,None,Ingresos,5,Positive
