partner_account,code,db_id,id,close_method,name,sequence,sign
False,view,23,account_types_ve.view,none,Vista,5,1
False,capital,24,account_types_ve.capital,balance,Capital,5,1
False,inmo,25,account_types_ve.inmo,balance,Inmovilizado,5,1
False,stock,26,account_types_ve.stock,balance,Existencias,5,1
False,terceros,27,account_types_ve.terceros,balance,Terceros,5,1
False,terceros - rec,28,account_types_ve.terceros - rec,unreconciled,Terceros A Cobrar,5,1
False,terceros - pay,29,account_types_ve.terceros - pay,unreconciled,Terceros A Pagar,5,1
False,tax,30,account_types_ve.tax,unreconciled,Impuestos,5,1
False,financieras,31,account_types_ve.financieras,balance,Financieras,5,1
False,gastos,32,account_types_ve.gastos,none,Gastos,5,1
False,costos,33,account_types_ve.costos,none,Costos,5,1
False,ingresos,34,account_types_ve.ingresos,none,Ingresos,5,1
