Cojedes  Apartaderos  	2201
Cojedes 	Arismendi 	2213
Cojedes 	Cojedes 	2209
Cojedes 	Cojeditos 	2201
Cojedes 	El Amparo 	2216
Cojedes 	El Baúl 	2213
Cojedes 	El Pao 	2214
Cojedes 	Guadarrama 	2213
Cojedes 	La Aguadita 	2207
Cojedes 	La Sierra 	2203
Cojedes 	Las Vegas 	2204
Cojedes 	Libertad de Cojedes 	2216
Cojedes 	Macapo 	2207
Cojedes 	Manrique 	2203
Cojedes 	San Carlos 	2201
Cojedes 	Tinaco 	2206
Cojedes 	Tinaquillo 	2209
Cojedes 	Vallecito 	2207
Cojedes 	Agua Linda 	2201
Cojedes 	Otras Poblaciones 	2201
Cojedes 	El Torito 	6401
Cojedes 	Otras Poblaciones 	6401
