Nueva Esparta  	El Amparo  	6301
Nueva Esparta 	El Bicha 	6301
Nueva Esparta 	El Espinal 	6301
Nueva Esparta 	El Guamache (Isla de Coche) 	6301
Nueva Esparta 	El Guamache (Punta de Piedras) 	6301
Nueva Esparta 	El Maco 	6301
Nueva Esparta 	El Pilar 	6301
Nueva Esparta 	El Valle de Pedro González 	6301
Nueva Esparta 	El Valle del Espíritu Santo 	6301
Nueva Esparta 	Guinima 	6301
Nueva Esparta 	Juan Griego 	6309
Nueva Esparta 	La Guardia 	6301
Nueva Esparta 	La Isleta 	6301
Nueva Esparta 	La Plaza de Paraguachí 	6301
Nueva Esparta 	La Vecindad 	6301
Nueva Esparta 	Las Cabreras 	6301
Nueva Esparta 	Las Hernández 	6301
Nueva Esparta 	Las Maritas 	6301
Nueva Esparta 	Las Piedras 	6301
Nueva Esparta 	Los Bagres 	6301
Nueva Esparta 	Los Cerritos 	6301
Nueva Esparta 	Los Giles 	6301
Nueva Esparta 	Los Gómez 	6301
Nueva Esparta 	Los Marvales 	6301
Nueva Esparta 	Los Millanes 	6301
Nueva Esparta 	Luisa Cáceres de Arismendi (Urbanización) 	6301
Nueva Esparta 	Macanao 	6301
Nueva Esparta 	Manzanillo 	6301
Nueva Esparta 	Marino 	6301
Nueva Esparta 	Mariño 	6301
Nueva Esparta 	Orinoco 	6301
Nueva Esparta 	Pampatar 	6316
Nueva Esparta 	Pedregales 	6301
Nueva Esparta 	Playa el Angel (Urbanización) 	6301
Nueva Esparta 	Porlamar 	6301
Nueva Esparta 	Puerto Fermín 	6301
Nueva Esparta 	Punta de Piedras 	6318
Nueva Esparta 	Robledal 	6301
Nueva Esparta 	San Antonio 	6301
Nueva Esparta 	San Juan Bautista 	6320
Nueva Esparta 	San Pedro de Coche 	6321
Nueva Esparta 	Santa Ana 	6301
Nueva Esparta 	Tacarigua 	6301
Nueva Esparta 	Valle Verde (Urbanización) 	6301
Nueva Esparta 	Villa Rosa 	6301
Nueva Esparta 	La Asunción 	6311
Nueva Esparta 	Pedro González 	6301
Nueva Esparta 	Otras Poblaciones 	6301
Nueva Esparta 	Agua de Vaca 	6301
Nueva Esparta 	Altagracia 	6301
Nueva Esparta 	Antolin del Campo 	6301
Nueva Esparta 	Boca del Pozo 	6301
Nueva Esparta 	Boca del Río 	6304
Nueva Esparta 	Bolívar 	6301
Nueva Esparta 	Boquerón 	6301
Nueva Esparta 	Chacachacare 	6301
